state,district,constituency,constituency_hi,constituency_kn,region_type,population,registered_voters,male_voters,female_voters,youth_voters,senior_voters,literacy_rate,transport_accessibility,awareness_score,weather_score,campaign_intensity,holiday_factor,historical_turnout,turnout_9am,turnout_11am,turnout_1pm,turnout_3pm,turnout_5pm,current_turnout,participation_momentum,risk_level,actual_final_turnout
Chhattisgarh,Dantewada (South Bastar),Dantewada (South Bastar) Assembly,Dantewada (South Bastar) Assembly,Dantewada (South Bastar) Assembly,Urban,542455,371088,190730,180358,115362,47516,74.13,69,60,65,61,0,64.62,11.47,26.12,35.88,45.74,55.7,45.74,Declining,High,59.83
Chhattisgarh,Dhamtari,Dhamtari Assembly,Dhamtari Assembly,Dhamtari Assembly,Rural,590925,358649,183211,175438,128449,38409,70.41,46,63,66,60,0,68.18,16.08,30.31,45.03,55.46,63.29,55.46,Declining,Low,70.18
Chhattisgarh,Durg,Durg Assembly,Durg Assembly,Durg Assembly,Rural,410893,303647,162572,141075,84554,34516,69.75,71,64,84,83,0,68.57,14.44,29.82,45.97,58.96,67.0,58.96,Declining,Low,73.88
Chhattisgarh,Gariyaband,Gariyaband Assembly,Gariyaband Assembly,Gariyaband Assembly,Rural,436638,302491,162369,140122,97851,37198,77.41,43,57,66,83,0,73.74,16.43,32.72,44.87,57.68,69.18,57.68,Declining,Low,76.08
Chhattisgarh,Janjgir-Champa,Janjgir-Champa Assembly,Janjgir-Champa Assembly,Janjgir-Champa Assembly,Rural,436453,269238,136885,132353,67121,32857,65.27,61,64,72,35,0,62.66,14.26,27.99,40.74,50.89,59.0,50.89,Declining,Low,63.73
Chhattisgarh,Jashpur,Jashpur Assembly,Jashpur Assembly,Jashpur Assembly,Rural,411496,264544,135549,128995,80024,36481,76.16,41,59,48,78,0,74.63,15.52,31.42,46.75,58.24,73.06,58.24,Declining,Low,76.63
Chhattisgarh,Kabirdham (Kawardha),Kabirdham (Kawardha) Assembly,Kabirdham (Kawardha) Assembly,Kabirdham (Kawardha) Assembly,Rural,355251,230049,120062,109987,67415,20797,69.17,66,77,91,63,0,66.75,13.6,32.79,42.64,58.56,66.68,58.56,Declining,Low,71.55
Chhattisgarh,Kanker (North Bastar),Kanker (North Bastar) Assembly,Kanker (North Bastar) Assembly,Kanker (North Bastar) Assembly,Urban,381260,249263,134262,115001,60903,28236,75.56,58,68,72,65,1,70.19,15.87,27.71,42.98,51.61,61.3,51.61,Declining,Medium,66.4
Chhattisgarh,Kondagaon,Kondagaon Assembly,Kondagaon Assembly,Kondagaon Assembly,Rural,290659,214278,112127,102151,67393,21449,66.95,57,75,81,73,0,78.63,16.06,37.22,51.15,63.02,77.37,63.02,Declining,Low,82.75
Chhattisgarh,Korba,Korba Assembly,Korba Assembly,Korba Assembly,Urban,217772,149755,78306,71449,44364,22407,87.09,90,89,56,68,0,65.38,14.01,27.27,42.68,53.64,62.18,53.64,Declining,Low,65.92
Chhattisgarh,Korea (Koriya),Korea (Koriya) Assembly,Korea (Koriya) Assembly,Korea (Koriya) Assembly,Rural,592811,358838,184406,174432,113717,33538,73.89,56,65,61,62,0,62.8,13.3,27.39,39.33,49.59,59.46,49.59,Declining,Low,63.5
Chhattisgarh,Mahasamund,Mahasamund Assembly,Mahasamund Assembly,Mahasamund Assembly,Urban,547090,372469,189850,182619,140533,42630,86.24,82,85,90,59,1,67.87,13.34,27.93,35.64,48.02,57.7,48.02,Declining,High,61.3
Chhattisgarh,Mungeli,Mungeli Assembly,Mungeli Assembly,Mungeli Assembly,Urban,298325,201014,104098,96916,66380,27978,78.33,80,87,72,57,0,66.22,15.06,27.55,41.23,54.3,62.18,54.3,Stable,Low,67.82
Chhattisgarh,Narayanpur,Narayanpur Assembly,Narayanpur Assembly,Narayanpur Assembly,Rural,542462,330490,174430,156060,84453,45770,78.16,41,67,74,50,0,69.78,12.95,29.79,42.18,53.81,64.38,53.81,Declining,Low,70.22
Chhattisgarh,Raigarh,Raigarh Assembly,Raigarh Assembly,Raigarh Assembly,Urban,303853,188791,100189,88602,45892,23598,86.48,61,74,94,55,0,68.21,14.54,31.52,43.41,55.74,65.35,55.74,Declining,Low,70.15
Chhattisgarh,Raipur,Raipur Assembly,Raipur Assembly,Raipur Assembly,Rural,327309,234076,119815,114261,74284,28372,65.29,53,74,48,61,0,68.4,15.47,28.82,39.89,54.05,62.1,54.05,Stable,Low,68.78
Chhattisgarh,Rajnandgaon,Rajnandgaon Assembly,Rajnandgaon Assembly,Rajnandgaon Assembly,Rural,469061,340257,176793,163464,103906,37571,78.05,60,67,88,64,0,62.98,15.19,28.33,37.83,48.43,60.07,48.43,Declining,Low,64.32
Chhattisgarh,Sukma,Sukma Assembly,Sukma Assembly,Sukma Assembly,Urban,224760,157003,84758,72245,41350,20847,83.66,78,73,65,57,0,63.75,12.87,29.2,39.26,49.81,59.21,49.81,Declining,Low,63.84
Chhattisgarh,Surajpur,Surajpur Assembly,Surajpur Assembly,Surajpur Assembly,Rural,415469,294114,158792,135322,105955,29752,71.83,79,60,87,57,0,75.1,17.91,31.97,48.31,64.8,72.15,64.8,Accelerating,Low,79.5
Chhattisgarh,Surguja,Surguja Assembly,Surguja Assembly,Surguja Assembly,Urban,628837,434071,228396,205675,147518,44254,87.24,68,59,49,63,0,64.59,12.68,25.67,37.34,47.9,54.49,47.9,Declining,Medium,60.5
Dadra and Nagar Haveli (UT),Dadra & Nagar Haveli,Dadra & Nagar Haveli Assembly,Dadra & Nagar Haveli Assembly,Dadra & Nagar Haveli Assembly,Rural,312473,210189,108518,101671,59622,28678,75.37,66,66,83,70,0,74.42,16.23,32.36,46.59,57.67,70.57,57.67,Declining,Low,76.88
Daman and Diu (UT),Daman,Daman Assembly,Daman Assembly,Daman Assembly,Rural,495014,357942,184826,173116,113315,50035,72.7,51,60,78,64,0,67.67,15.29,30.18,45.06,53.21,64.67,53.21,Declining,Low,69.4
Daman and Diu (UT),Diu,Diu Assembly,Diu Assembly,Diu Assembly,Rural,437354,321362,172686,148676,93579,33268,66.13,65,57,79,81,0,72.49,15.92,34.49,46.84,60.62,74.79,60.62,Declining,Low,78.31
Delhi (NCT),Central Delhi,Central Delhi Assembly,Central Delhi Assembly,Central Delhi Assembly,Urban,606199,425247,221614,203633,105668,55877,84.04,77,78,50,51,0,67.32,15.56,28.62,42.22,52.58,61.06,52.58,Declining,Low,65.46
Delhi (NCT),East Delhi,East Delhi Assembly,East Delhi Assembly,East Delhi Assembly,Urban,223309,147516,79432,68084,38826,17219,76.35,73,77,51,68,0,62.63,13.58,28.68,37.08,50.34,59.65,50.34,Declining,Low,62.5
Delhi (NCT),New Delhi,New Delhi Assembly,New Delhi Assembly,New Delhi Assembly,Urban,601217,419507,220732,198775,156646,62096,79.28,82,76,59,51,0,67.75,14.65,30.5,43.02,52.61,63.23,52.61,Declining,Low,67.76
Delhi (NCT),North Delhi,North Delhi Assembly,North Delhi Assembly,North Delhi Assembly,Urban,461854,318130,169318,148812,90677,44818,84.66,76,64,73,55,0,64.07,12.76,28.48,40.65,47.13,59.18,47.13,Declining,Medium,62.58
Delhi (NCT),North East  Delhi,North East  Delhi Assembly,North East  Delhi Assembly,North East  Delhi Assembly,Urban,265744,183087,98286,84801,44776,17111,80.11,86,59,48,84,0,67.45,13.33,31.48,40.64,54.9,62.88,54.9,Declining,Low,68.83
Delhi (NCT),North West  Delhi,North West  Delhi Assembly,North West  Delhi Assembly,North West  Delhi Assembly,Urban,636259,433564,227500,206064,139266,52462,85.14,68,60,71,74,0,64.06,11.19,25.35,34.52,45.01,55.38,45.01,Declining,High,58.21
Delhi (NCT),Shahdara,Shahdara Assembly,Shahdara Assembly,Shahdara Assembly,Rural,594170,362242,183683,178559,112645,41500,75.97,56,74,88,72,0,63.39,14.04,27.48,40.23,54.89,61.48,54.89,Stable,Low,68.31
Delhi (NCT),South Delhi,South Delhi Assembly,South Delhi Assembly,South Delhi Assembly,Urban,445976,271414,143124,128290,92616,27693,76.26,77,70,65,48,0,61.16,14.28,27.64,40.69,51.11,57.94,51.11,Declining,Low,63.31
Delhi (NCT),South East Delhi,South East Delhi Assembly,South East Delhi Assembly,South East Delhi Assembly,Urban,507602,317467,167311,150156,116279,43937,88.76,71,84,98,75,0,72.71,14.75,34.69,48.2,63.4,70.06,63.4,Declining,Low,77.63
Delhi (NCT),South West  Delhi,South West  Delhi Assembly,South West  Delhi Assembly,South West  Delhi Assembly,Urban,469272,305326,154733,150593,100300,29859,81.96,85,80,57,59,0,63.83,11.94,26.47,38.74,50.23,61.71,50.23,Declining,Low,65.66
Delhi (NCT),West Delhi,West Delhi Assembly,West Delhi Assembly,West Delhi Assembly,Urban,608276,437907,225724,212183,149671,54179,88.15,51,71,80,54,0,64.32,14.63,25.45,39.97,51.95,58.84,51.95,Stable,Low,63.52
Goa,North Goa,North Goa Assembly,North Goa Assembly,North Goa Assembly,Urban,268791,187799,96041,91758,59438,27798,73.83,98,72,70,65,0,56.89,11.4,27.42,35.86,46.83,55.67,46.83,Declining,Low,60.68
Goa,South Goa,South Goa Assembly,South Goa Assembly,South Goa Assembly,Urban,507031,362170,189215,172955,90515,39393,87.96,63,78,68,56,0,60.59,12.15,27.07,36.22,48.17,55.58,48.17,Declining,Low,59.36
Gujarat,Ahmedabad,Ahmedabad Assembly,Ahmedabad Assembly,Ahmedabad Assembly,Rural,265024,169616,89024,80592,56984,18648,63.91,67,64,93,78,0,69.06,16.17,29.17,43.06,55.27,66.52,55.27,Stable,Low,71.84
Gujarat,Amreli,Amreli Assembly,Amreli Assembly,Amreli Assembly,Urban,365917,246122,131361,114761,92515,23824,79.46,87,81,48,48,0,62.19,12.47,24.84,35.82,47.51,57.19,47.51,Stable,Medium,59.69
Gujarat,Anand,Anand Assembly,Anand Assembly,Anand Assembly,Rural,502854,313828,159302,154526,78321,36348,74.13,52,65,98,72,0,74.53,15.59,33.17,46.76,59.26,68.92,59.26,Declining,Low,75.32
Gujarat,Aravalli,Aravalli Assembly,Aravalli Assembly,Aravalli Assembly,Rural,220387,161442,86581,74861,42245,23680,74.78,59,68,97,72,0,69.58,15.98,30.87,45.47,60.75,68.7,60.75,Stable,Low,74.35
Gujarat,Banaskantha (Palanpur),Banaskantha (Palanpur) Assembly,Banaskantha (Palanpur) Assembly,Banaskantha (Palanpur) Assembly,Urban,455049,320134,170468,149666,106636,38378,84.89,86,69,77,66,0,66.56,14.43,28.95,38.93,52.12,62.17,52.12,Stable,Low,65.5
Gujarat,Bharuch,Bharuch Assembly,Bharuch Assembly,Bharuch Assembly,Rural,275667,165930,88160,77770,44803,17629,66.96,61,59,83,82,0,72.13,17.67,35.12,47.61,58.85,72.18,58.85,Declining,Low,77.03
Gujarat,Bhavnagar,Bhavnagar Assembly,Bhavnagar Assembly,Bhavnagar Assembly,Urban,190103,140347,74356,65991,48827,16231,76.3,71,81,68,81,1,69.72,14.37,29.57,40.38,55.08,63.31,55.08,Stable,Low,68.43
Gujarat,Botad,Botad Assembly,Botad Assembly,Botad Assembly,Rural,452895,299883,161707,138176,84610,36033,63.9,70,65,77,56,0,65.47,13.13,28.37,40.52,52.85,65.1,52.85,Declining,Low,69.27
Gujarat,Chhota Udepur,Chhota Udepur Assembly,Chhota Udepur Assembly,Chhota Udepur Assembly,Urban,346508,247998,130046,117952,87498,22438,87.79,98,54,86,49,0,65.94,12.91,30.01,42.49,53.14,61.72,53.14,Declining,Low,66.91
Gujarat,Dahod,Dahod Assembly,Dahod Assembly,Dahod Assembly,Rural,584303,422266,226508,195758,124560,52024,71.05,66,63,86,68,1,68.94,15.45,29.21,44.72,54.37,67.14,54.37,Declining,Low,71.3
Gujarat,Dangs (Ahwa),Dangs (Ahwa) Assembly,Dangs (Ahwa) Assembly,Dangs (Ahwa) Assembly,Rural,365388,227687,122936,104751,77555,30497,71.24,58,69,63,57,0,80.21,15.95,33.06,49.76,62.79,74.82,62.79,Declining,Low,81.93
Gujarat,Devbhoomi Dwarka,Devbhoomi Dwarka Assembly,Devbhoomi Dwarka Assembly,Devbhoomi Dwarka Assembly,Urban,564583,416704,218972,197732,143988,59292,83.86,94,67,65,47,0,64.06,15.06,28.12,39.12,51.89,58.95,51.89,Stable,Low,63.64
Gujarat,Gandhinagar,Gandhinagar Assembly,Gandhinagar Assembly,Gandhinagar Assembly,Urban,513840,323141,170065,153076,118073,33044,81.12,74,71,98,46,0,61.11,11.54,28.33,39.46,51.66,60.66,51.66,Declining,Low,63.9
Gujarat,Gir Somnath,Gir Somnath Assembly,Gir Somnath Assembly,Gir Somnath Assembly,Urban,649490,401277,212680,188597,126169,48407,86.13,73,49,73,59,0,60.15,13.24,26.57,36.44,48.26,54.64,48.26,Declining,Low,58.94
Gujarat,Jamnagar,Jamnagar Assembly,Jamnagar Assembly,Jamnagar Assembly,Rural,532245,351646,177616,174030,111917,38424,66.52,48,52,71,53,0,74.09,16.94,30.49,45.31,60.62,70.72,60.62,Accelerating,Low,76.12
Gujarat,Junagadh,Junagadh Assembly,Junagadh Assembly,Junagadh Assembly,Rural,400283,245514,131687,113827,60595,30655,69.82,75,90,92,46,0,67.3,16.37,31.35,45.25,56.7,68.2,56.7,Declining,Low,74.5
Gujarat,Kachchh,Kachchh Assembly,Kachchh Assembly,Kachchh Assembly,Rural,427572,295699,150476,145223,94929,37832,65.5,81,64,62,52,0,67.47,13.88,30.69,41.57,51.54,61.1,51.54,Declining,Low,67.54
Gujarat,Kheda (Nadiad),Kheda (Nadiad) Assembly,Kheda (Nadiad) Assembly,Kheda (Nadiad) Assembly,Rural,645291,427273,223987,203286,159881,49506,71.79,86,70,62,72,0,69.92,14.9,33.28,48.31,57.15,71.71,57.15,Declining,Low,75.76
Gujarat,Mahisagar,Mahisagar Assembly,Mahisagar Assembly,Mahisagar Assembly,Urban,597247,421966,225090,196876,106493,55672,78.89,72,71,69,68,0,65.88,13.17,29.97,42.4,51.03,63.0,51.03,Declining,Low,66.03
Gujarat,Mehsana,Mehsana Assembly,Mehsana Assembly,Mehsana Assembly,Urban,602117,369221,189714,179507,130622,48888,88.48,98,61,58,45,1,64.74,10.92,24.73,34.33,44.37,56.41,44.37,Declining,High,59.07
Gujarat,Morbi,Morbi Assembly,Morbi Assembly,Morbi Assembly,Rural,507350,363869,188600,175269,116028,46384,76.83,79,81,98,55,0,72.5,17.75,34.33,45.49,59.28,68.75,59.28,Declining,Low,75.33
Gujarat,Narmada (Rajpipla),Narmada (Rajpipla) Assembly,Narmada (Rajpipla) Assembly,Narmada (Rajpipla) Assembly,Urban,346667,231982,118280,113702,70653,33961,81.06,88,68,66,64,0,71.93,16.75,31.12,43.53,55.15,68.47,55.15,Declining,Low,73.25
Gujarat,Navsari,Navsari Assembly,Navsari Assembly,Navsari Assembly,Rural,239821,149591,80679,68912,52218,18935,74.19,66,70,74,69,0,66.09,14.74,28.65,44.32,54.38,64.34,54.38,Declining,Low,68.77
Gujarat,Panchmahal (Godhra),Panchmahal (Godhra) Assembly,Panchmahal (Godhra) Assembly,Panchmahal (Godhra) Assembly,Rural,194995,117863,61900,55963,29682,14899,77.1,65,73,80,57,1,73.02,13.85,31.49,45.66,52.84,67.02,52.84,Declining,High,70.26
Gujarat,Patan,Patan Assembly,Patan Assembly,Patan Assembly,Rural,588376,391329,199712,191617,97337,43091,64.07,59,59,71,40,0,63.69,14.25,26.24,37.58,47.92,56.76,47.92,Declining,Medium,62.53
Gujarat,Porbandar,Porbandar Assembly,Porbandar Assembly,Porbandar Assembly,Rural,588624,382321,202406,179915,143963,38311,77.37,71,79,72,44,0,66.18,11.9,27.1,42.34,51.56,63.32,51.56,Declining,Low,66.02
Gujarat,Rajkot,Rajkot Assembly,Rajkot Assembly,Rajkot Assembly,Rural,603350,366822,192710,174112,111580,48970,72.19,74,72,68,73,0,69.38,14.28,31.99,47.08,58.44,69.21,58.44,Declining,Low,74.5
Gujarat,Sabarkantha (Himmatnagar),Sabarkantha (Himmatnagar) Assembly,Sabarkantha (Himmatnagar) Assembly,Sabarkantha (Himmatnagar) Assembly,Urban,504934,311232,159354,151878,80065,41055,79.66,88,72,98,63,0,64.45,16.59,31.76,44.01,53.6,63.24,53.6,Declining,Low,69.65
Gujarat,Surat,Surat Assembly,Surat Assembly,Surat Assembly,Urban,261972,167402,89116,78286,44461,23359,77.57,65,73,91,54,0,65.96,15.1,29.31,38.78,52.19,59.79,52.19,Stable,Low,65.47
Gujarat,Surendranagar,Surendranagar Assembly,Surendranagar Assembly,Surendranagar Assembly,Rural,387609,260889,135503,125386,90067,33239,72.6,60,61,63,49,0,67.95,12.86,30.25,42.77,52.48,63.25,52.48,Declining,Low,66.2
Gujarat,Tapi (Vyara),Tapi (Vyara) Assembly,Tapi (Vyara) Assembly,Tapi (Vyara) Assembly,Urban,627244,417449,218610,198839,144637,41439,80.8,98,59,90,56,0,66.07,13.91,29.16,39.5,50.36,57.93,50.36,Declining,Low,64.15
Gujarat,Vadodara,Vadodara Assembly,Vadodara Assembly,Vadodara Assembly,Rural,233664,168101,85313,82788,63793,23157,75.06,54,55,95,59,1,74.02,14.45,30.35,46.63,59.86,68.67,59.86,Declining,Low,75.24
Gujarat,Valsad,Valsad Assembly,Valsad Assembly,Valsad Assembly,Rural,386548,262547,133238,129309,77247,24671,63.31,63,77,63,72,0,72.52,14.84,33.07,47.53,58.49,72.02,58.49,Declining,Low,75.74
Haryana,Ambala,Ambala Assembly,Ambala Assembly,Ambala Assembly,Urban,564370,378628,199816,178812,139263,41795,80.29,83,89,62,34,0,62.68,12.1,27.45,35.68,49.87,56.75,49.87,Stable,Low,60.86
Haryana,Bhiwani,Bhiwani Assembly,Bhiwani Assembly,Bhiwani Assembly,Urban,315639,205844,104466,101378,51183,19666,75.6,65,74,73,68,0,64.75,13.75,27.86,39.61,49.47,59.73,49.47,Declining,Medium,62.59
Haryana,Charkhi Dadri,Charkhi Dadri Assembly,Charkhi Dadri Assembly,Charkhi Dadri Assembly,Urban,567001,414939,212679,202260,126446,58878,76.99,85,75,91,52,0,62.99,13.29,28.58,41.59,51.02,61.3,51.02,Declining,Low,64.4
Haryana,Faridabad,Faridabad Assembly,Faridabad Assembly,Faridabad Assembly,Urban,193780,136205,71018,65187,38179,16285,77.8,62,89,86,63,0,68.91,17.3,32.94,45.43,58.36,69.94,58.36,Declining,Low,73.32
Haryana,Fatehabad,Fatehabad Assembly,Fatehabad Assembly,Fatehabad Assembly,Rural,233592,170982,91836,79146,47114,23390,64.58,59,60,76,50,0,71.26,16.13,31.76,46.54,55.64,69.21,55.64,Declining,Low,72.67
Haryana,Gurgaon,Gurgaon Assembly,Gurgaon Assembly,Gurgaon Assembly,Urban,579294,393094,208883,184211,117651,54095,73.51,70,78,74,55,0,65.62,12.48,29.25,42.6,53.16,59.95,53.16,Declining,Low,66.27
Haryana,Hisar,Hisar Assembly,Hisar Assembly,Hisar Assembly,Urban,635887,413808,211787,202021,118326,42433,74.36,61,46,67,69,0,67.44,13.56,28.54,40.14,54.43,60.56,54.43,Stable,Low,66.76
Haryana,Jhajjar,Jhajjar Assembly,Jhajjar Assembly,Jhajjar Assembly,Urban,302672,199432,103494,95938,74028,21679,77.0,91,85,81,59,0,62.62,13.47,28.53,37.26,51.03,60.0,51.03,Stable,Low,63.9
Haryana,Jind,Jind Assembly,Jind Assembly,Jind Assembly,Rural,517570,339758,173557,166201,120292,43050,68.98,56,63,59,36,0,68.28,13.68,27.58,39.67,54.24,60.59,54.24,Stable,Low,67.13
Haryana,Kaithal,Kaithal Assembly,Kaithal Assembly,Kaithal Assembly,Rural,556671,402532,209520,193012,109647,48362,74.7,64,72,56,85,0,78.46,16.91,36.48,52.41,62.48,78.08,62.48,Declining,Low,82.19
Haryana,Karnal,Karnal Assembly,Karnal Assembly,Karnal Assembly,Rural,443801,281014,150690,130324,97663,33729,69.94,65,51,80,58,0,71.11,17.12,33.0,46.87,57.6,68.13,57.6,Declining,Low,74.54
Haryana,Kurukshetra,Kurukshetra Assembly,Kurukshetra Assembly,Kurukshetra Assembly,Rural,239807,166414,85173,81241,61996,18973,75.53,62,62,91,77,0,65.33,14.07,30.69,43.2,53.99,64.56,53.99,Declining,Low,70.92
Haryana,Mahendragarh,Mahendragarh Assembly,Mahendragarh Assembly,Mahendragarh Assembly,Rural,527160,375132,193063,182069,126290,41426,75.88,55,63,82,54,1,66.19,12.22,25.87,36.17,50.6,56.68,50.6,Stable,Medium,62.09
Haryana,Mewat,Mewat Assembly,Mewat Assembly,Mewat Assembly,Rural,366098,239796,129250,110546,77131,21744,75.6,61,65,49,82,1,63.56,13.73,25.69,39.69,47.89,57.57,47.89,Declining,Medium,61.7
Haryana,Palwal,Palwal Assembly,Palwal Assembly,Palwal Assembly,Rural,591659,388997,207835,181162,105437,42421,67.15,46,73,60,44,0,71.95,16.15,30.97,45.38,56.94,65.91,56.94,Declining,Low,72.19
Haryana,Panchkula,Panchkula Assembly,Panchkula Assembly,Panchkula Assembly,Rural,202692,143186,76550,66636,37356,15190,68.78,80,58,95,49,0,65.23,16.31,31.73,42.01,53.57,64.66,53.57,Declining,Low,69.93
Haryana,Panipat,Panipat Assembly,Panipat Assembly,Panipat Assembly,Rural,268302,190674,102023,88651,60325,18368,63.72,67,84,77,20,0,68.65,15.18,28.94,42.0,55.07,63.61,55.07,Stable,Low,67.24
Haryana,Rewari,Rewari Assembly,Rewari Assembly,Rewari Assembly,Rural,312233,206026,108873,97153,65720,29056,66.22,64,69,77,79,0,73.15,14.83,34.33,44.61,57.65,72.84,57.65,Declining,Low,75.97
Haryana,Rohtak,Rohtak Assembly,Rohtak Assembly,Rohtak Assembly,Rural,547084,338596,181044,157552,123432,49650,75.25,50,62,73,56,1,75.14,15.23,28.85,43.47,53.16,63.06,53.16,Declining,High,69.5
Haryana,Sirsa,Sirsa Assembly,Sirsa Assembly,Sirsa Assembly,Rural,341050,239683,126566,113117,73581,34929,68.31,58,65,71,57,0,66.22,15.12,29.14,42.65,56.55,68.01,56.55,Stable,Low,71.0
Haryana,Sonipat,Sonipat Assembly,Sonipat Assembly,Sonipat Assembly,Rural,194859,133065,71083,61982,32395,14872,71.75,66,68,75,60,1,74.02,17.63,32.1,44.25,59.48,68.92,59.48,Stable,Low,73.56
Haryana,Yamunanagar,Yamunanagar Assembly,Yamunanagar Assembly,Yamunanagar Assembly,Rural,590262,354249,187923,166326,95826,45949,73.14,59,66,61,78,0,62.62,12.46,26.87,42.27,53.93,62.19,53.93,Declining,Low,66.23
Himachal Pradesh,Bilaspur,Bilaspur Assembly,Bilaspur Assembly,Bilaspur Assembly,Rural,393363,271533,143889,127644,76526,38957,63.22,68,48,92,65,0,68.34,14.42,28.2,40.45,55.81,66.2,55.81,Accelerating,Low,69.06
Himachal Pradesh,Chamba,Chamba Assembly,Chamba Assembly,Chamba Assembly,Rural,194389,140408,70928,69480,45152,19481,68.23,53,51,90,77,0,71.85,13.8,31.96,46.22,58.75,69.5,58.75,Declining,Low,73.53
Himachal Pradesh,Hamirpur,Hamirpur Assembly,Hamirpur Assembly,Hamirpur Assembly,Urban,528149,390437,209572,180865,136359,50921,85.28,77,54,65,71,0,70.46,14.78,31.37,44.99,60.35,70.49,60.35,Stable,Low,75.06
Himachal Pradesh,Kangra,Kangra Assembly,Kangra Assembly,Kangra Assembly,Urban,219346,149590,77929,71661,40796,19187,86.12,77,66,58,73,0,68.85,15.86,30.18,43.78,53.8,65.1,53.8,Declining,Low,69.37
Himachal Pradesh,Kinnaur,Kinnaur Assembly,Kinnaur Assembly,Kinnaur Assembly,Rural,515513,364912,192745,172167,135681,44440,74.72,56,73,75,66,1,65.74,13.4,28.69,42.1,51.17,61.94,51.17,Declining,Low,66.26
Himachal Pradesh,Kullu,Kullu Assembly,Kullu Assembly,Kullu Assembly,Rural,590520,359440,189830,169610,111724,35841,73.53,49,50,48,43,0,78.47,13.61,33.26,47.86,58.94,70.93,58.94,Declining,Medium,74.1
Himachal Pradesh,Lahaul &amp; Spiti,Lahaul &amp; Spiti Assembly,Lahaul &amp; Spiti Assembly,Lahaul &amp; Spiti Assembly,Rural,263384,180221,93650,86571,53382,19875,65.03,49,62,62,71,0,79.16,19.15,35.82,49.79,66.44,76.84,66.44,Stable,Low,82.41
Himachal Pradesh,Mandi,Mandi Assembly,Mandi Assembly,Mandi Assembly,Rural,414778,283288,151505,131783,74814,40432,71.93,58,74,80,95,0,71.61,13.68,29.84,45.27,58.0,65.65,58.0,Declining,Low,71.24
Himachal Pradesh,Shimla,Shimla Assembly,Shimla Assembly,Shimla Assembly,Rural,208926,152876,81888,70988,55420,22664,65.83,66,43,83,63,0,76.02,18.42,31.19,50.43,58.77,73.76,58.77,Declining,Low,77.73
Himachal Pradesh,Sirmaur (Sirmour),Sirmaur (Sirmour) Assembly,Sirmaur (Sirmour) Assembly,Sirmaur (Sirmour) Assembly,Rural,607709,394534,204620,189914,96019,38264,65.03,60,53,79,65,0,69.44,13.24,28.69,42.45,52.07,62.99,52.07,Declining,Medium,68.99
Himachal Pradesh,Solan,Solan Assembly,Solan Assembly,Solan Assembly,Urban,402633,285795,148342,137453,85161,42148,81.66,63,76,89,89,0,66.08,15.52,29.65,40.95,54.75,62.18,54.75,Stable,Low,68.72
Himachal Pradesh,Una,Una Assembly,Una Assembly,Una Assembly,Rural,337550,209285,107577,101708,57382,26344,69.16,58,71,72,42,0,70.69,14.89,32.41,41.89,54.15,63.93,54.15,Declining,Low,70.5
Jammu and Kashmir,Anantnag,Anantnag Assembly,Anantnag Assembly,Anantnag Assembly,Urban,615014,372802,198896,173906,117722,47992,73.73,72,70,72,60,0,58.95,11.95,27.25,37.25,48.44,53.9,48.44,Declining,Low,59.33
Jammu and Kashmir,Bandipore,Bandipore Assembly,Bandipore Assembly,Bandipore Assembly,Rural,370285,236992,122399,114593,62514,22117,68.3,56,79,87,87,0,70.71,18.39,31.47,47.52,58.93,69.85,58.93,Declining,Low,77.35
Jammu and Kashmir,Baramulla,Baramulla Assembly,Baramulla Assembly,Baramulla Assembly,Rural,264817,184009,95843,88166,56401,26744,64.16,52,54,81,57,0,68.49,13.75,30.82,39.83,54.16,61.83,54.16,Declining,Low,67.2
Jammu and Kashmir,Budgam,Budgam Assembly,Budgam Assembly,Budgam Assembly,Urban,562811,395328,208329,186999,123762,37191,75.9,71,90,88,83,0,66.16,15.74,31.99,40.42,55.76,65.03,55.76,Stable,Low,69.6
Jammu and Kashmir,Doda,Doda Assembly,Doda Assembly,Doda Assembly,Rural,208756,154231,82161,72070,44690,20073,70.74,41,56,94,88,0,80.78,17.7,34.09,52.21,62.1,76.11,62.1,Declining,Low,82.61
Jammu and Kashmir,Ganderbal,Ganderbal Assembly,Ganderbal Assembly,Ganderbal Assembly,Urban,395379,275937,145814,130123,94994,31662,76.13,65,72,47,53,1,66.15,11.2,24.59,35.73,47.72,53.65,47.72,Stable,High,58.66
Jammu and Kashmir,Jammu,Jammu Assembly,Jammu Assembly,Jammu Assembly,Rural,549738,374853,190069,184784,99117,44344,64.46,71,85,82,26,1,71.42,16.51,30.83,45.04,55.18,66.85,55.18,Declining,Low,70.74
Jammu and Kashmir,Kargil,Kargil Assembly,Kargil Assembly,Kargil Assembly,Urban,615840,397733,212485,185248,105544,54665,79.16,98,59,64,63,0,67.74,15.09,29.53,41.38,50.08,61.45,50.08,Declining,Medium,66.68
Jammu and Kashmir,Kathua,Kathua Assembly,Kathua Assembly,Kathua Assembly,Rural,180515,124720,64430,60290,43877,18204,63.32,87,52,91,78,1,73.1,13.45,30.43,47.27,56.47,67.15,56.47,Declining,Low,73.53
